rank,discipline,yrs.since.phd,yrs.service,sex,salary
AssocProf,Theoretical,9,7,M,70000
Prof,Theoretical,16,11,M,88175
Prof,Theoretical,39,38,M,133900
Prof,Theoretical,29,27,F,91000
AssocProf,Theoretical,26,24,F,73300
Prof,Theoretical,38,19,M,148750
Prof,Theoretical,36,19,F,117555
AsstProf,Theoretical,8,3,M,69700
Prof,Theoretical,28,17,M,81700
Prof,Theoretical,25,25,M,114000
AsstProf,Theoretical,7,6,F,63100
Prof,Theoretical,46,40,M,77202
Prof,Theoretical,19,6,M,96200
AsstProf,Theoretical,5,3,M,69200
Prof,Theoretical,31,30,M,122875
Prof,Theoretical,38,37,M,102600
Prof,Theoretical,23,23,M,108200
Prof,Theoretical,19,23,M,84273
Prof,Theoretical,17,11,F,90450
Prof,Theoretical,30,23,M,91100
Prof,Theoretical,21,18,M,101100
Prof,Theoretical,28,23,M,128800
Prof,Theoretical,29,7,M,204000
Prof,Theoretical,39,39,M,109000
Prof,Theoretical,20,8,M,102000
Prof,Theoretical,31,12,M,132000
AsstProf,Theoretical,4,2,F,77500
Prof,Theoretical,28,7,F,116450
AssocProf,Theoretical,12,8,M,83000
Prof,Theoretical,22,22,M,140300
AssocProf,Theoretical,30,23,M,74000
AsstProf,Theoretical,9,3,M,73800
Prof,Theoretical,32,30,M,92550
AssocProf,Theoretical,41,33,M,88600
Prof,Theoretical,45,45,M,107550
Prof,Theoretical,31,26,M,121200
Prof,Theoretical,31,31,M,126000
Prof,Theoretical,37,35,M,99000
Prof,Theoretical,36,30,M,134800
Prof,Theoretical,43,43,M,143940
Prof,Theoretical,14,10,M,104350
Prof,Theoretical,47,44,M,89650
Prof,Theoretical,13,7,M,103700
Prof,Theoretical,42,40,M,143250
Prof,Theoretical,42,18,M,194800
AsstProf,Theoretical,4,1,M,73000
AsstProf,Theoretical,8,4,M,74000
AsstProf,Theoretical,8,3,F,78500
Prof,Theoretical,12,6,M,93000
Prof,Theoretical,52,48,M,107200
Prof,Theoretical,31,27,M,163200
Prof,Theoretical,24,18,M,107100
Prof,Theoretical,46,46,M,100600
Prof,Theoretical,39,38,M,136500
Prof,Theoretical,37,27,M,103600
Prof,Theoretical,51,51,M,57800
Prof,Theoretical,45,43,M,155865
AssocProf,Theoretical,8,6,M,88650
AssocProf,Theoretical,49,49,M,81800
Prof,Theoretical,28,27,M,115800
AsstProf,Theoretical,2,0,M,85000
Prof,Theoretical,29,27,M,150500
AsstProf,Theoretical,8,5,M,74000
Prof,Theoretical,33,7,M,174500
Prof,Theoretical,32,28,M,168500
Prof,Theoretical,39,9,M,183800
AssocProf,Theoretical,11,1,M,104800
Prof,Theoretical,19,7,M,107300
Prof,Theoretical,40,36,M,97150
Prof,Theoretical,18,18,M,126300
Prof,Theoretical,17,11,M,148800
Prof,Theoretical,49,43,M,72300
AssocProf,Theoretical,45,39,M,70700
Prof,Theoretical,39,36,M,88600
Prof,Theoretical,27,16,M,127100
Prof,Theoretical,28,13,M,170500
Prof,Theoretical,14,4,M,105260
Prof,Theoretical,46,44,M,144050
Prof,Theoretical,33,31,M,111350
AsstProf,Theoretical,7,4,M,74500
Prof,Theoretical,31,28,M,122500
AsstProf,Theoretical,5,0,M,74000
Prof,Theoretical,22,15,M,166800
Prof,Theoretical,20,7,M,92050
Prof,Theoretical,14,9,M,108100
Prof,Theoretical,29,19,M,94350
Prof,Theoretical,35,35,M,100351
Prof,Theoretical,22,6,M,146800
AsstProf,Applied,6,3,M,84716
AssocProf,Applied,12,9,F,71065
Prof,Applied,46,45,M,67559
Prof,Applied,16,16,M,134550
Prof,Applied,16,15,M,135027
Prof,Applied,24,23,M,104428
AssocProf,Applied,9,9,M,95642
AssocProf,Applied,13,11,M,126431
Prof,Applied,24,15,F,161101
Prof,Applied,30,31,M,162221
AsstProf,Applied,8,4,M,84500
Prof,Applied,23,15,M,124714
Prof,Applied,37,37,M,151650
AssocProf,Applied,10,10,M,99247
Prof,Applied,23,23,M,134778
Prof,Applied,49,60,M,192253
Prof,Applied,20,9,M,116518
Prof,Applied,18,10,F,105450
Prof,Applied,33,19,M,145098
AssocProf,Applied,19,6,F,104542
Prof,Applied,36,38,M,151445
Prof,Applied,35,23,M,98053
Prof,Applied,13,12,M,145000
Prof,Applied,32,25,M,128464
Prof,Applied,37,15,M,137317
Prof,Applied,13,11,M,106231
Prof,Applied,17,17,F,124312
Prof,Applied,38,38,M,114596
Prof,Applied,31,31,M,162150
Prof,Applied,32,35,M,150376
Prof,Applied,15,10,M,107986
Prof,Applied,41,27,M,142023
Prof,Applied,39,33,M,128250
AsstProf,Applied,4,3,M,80139
Prof,Applied,27,28,M,144309
Prof,Applied,56,49,M,186960
Prof,Applied,38,38,M,93519
Prof,Applied,26,27,M,142500
Prof,Applied,22,20,M,138000
AsstProf,Applied,8,1,M,83600
Prof,Applied,25,21,M,145028
Prof,Theoretical,49,40,M,88709
Prof,Theoretical,39,35,M,107309
Prof,Theoretical,28,14,F,109954
AsstProf,Theoretical,11,4,M,78785
Prof,Theoretical,14,11,M,121946
Prof,Theoretical,23,15,F,109646
Prof,Theoretical,30,30,M,138771
AssocProf,Theoretical,20,17,M,81285
Prof,Theoretical,43,43,M,205500
Prof,Theoretical,43,40,M,101036
Prof,Theoretical,15,10,M,115435
AssocProf,Theoretical,10,1,M,108413
Prof,Theoretical,35,30,M,131950
Prof,Theoretical,33,31,M,134690
AssocProf,Theoretical,13,8,M,78182
Prof,Theoretical,23,20,M,110515
Prof,Theoretical,12,7,M,109707
Prof,Theoretical,30,26,M,136660
Prof,Theoretical,27,19,M,103275
Prof,Theoretical,28,26,M,103649
AsstProf,Theoretical,4,1,M,74856
AsstProf,Theoretical,6,3,M,77081
Prof,Theoretical,38,38,M,150680
AssocProf,Theoretical,11,8,M,104121
AsstProf,Theoretical,8,3,M,75996
Prof,Theoretical,27,23,M,172505
AssocProf,Theoretical,8,5,M,86895
Prof,Theoretical,44,44,M,105000
Prof,Theoretical,27,21,M,125192
Prof,Theoretical,15,9,M,114330
Prof,Theoretical,29,27,M,139219
Prof,Theoretical,29,15,M,109305
Prof,Theoretical,38,36,M,119450
Prof,Theoretical,33,18,M,186023
Prof,Theoretical,40,19,M,166605
Prof,Theoretical,30,19,M,151292
Prof,Theoretical,33,30,M,103106
Prof,Theoretical,31,19,M,150564
Prof,Theoretical,42,25,M,101738
Prof,Theoretical,25,15,M,95329
AsstProf,Theoretical,8,4,M,81035
